sheep_id,confidence,x1,y1,x2,y2,source_image
Sheep_01,0.904,118,808,237,1000,IMG_0324.JPEG
Sheep_02,0.289,257,733,373,812,IMG_0324.JPEG
Sheep_03,0.274,423,948,553,1002,IMG_0324.JPEG
Sheep_04,0.682,518,845,656,939,IMG_0324.JPEG
Sheep_05,0.444,636,712,727,780,IMG_0324.JPEG
Sheep_06,0.477,752,691,846,764,IMG_0324.JPEG
Sheep_07,0.485,1033,704,1183,743,IMG_0324.JPEG
Sheep_08,0.482,1065,913,1203,981,IMG_0324.JPEG
Sheep_09,0.750,1068,788,1247,844,IMG_0324.JPEG
Sheep_10,0.861,1243,985,1501,1086,IMG_0324.JPEG
Sheep_11,0.699,1516,956,1662,1038,IMG_0324.JPEG
Sheep_12,0.348,1694,778,1887,867,IMG_0324.JPEG
