sheep_id,confidence,x1,y1,x2,y2,source_image
Sheep_01,0.481,19,748,133,833,IMG_0323.JPEG
Sheep_02,0.826,330,861,488,964,IMG_0323.JPEG
Sheep_03,0.446,437,717,543,788,IMG_0323.JPEG
Sheep_04,0.608,587,694,692,771,IMG_0323.JPEG
Sheep_05,0.343,684,890,796,937,IMG_0323.JPEG
Sheep_06,0.405,690,713,798,767,IMG_0323.JPEG
Sheep_07,0.397,878,1201,1074,1286,IMG_0323.JPEG
Sheep_08,0.528,954,913,1090,983,IMG_0323.JPEG
Sheep_09,0.733,983,788,1147,845,IMG_0323.JPEG
Sheep_10,0.859,1098,979,1322,1067,IMG_0323.JPEG
Sheep_11,0.725,1500,936,1622,1013,IMG_0323.JPEG
