project_path,layer_id,layer_name,provider,datasource,source_type,resolved_absolute_path,exists,in_repo,file_extension,status
QField/Ag_School_AgParcels_QField/Paul-MASTER.qgz,Ag_District_Footprints_d20bb39b_aaa0_4187_95d6_9333e57ae3d9,Ag District Footprints,ogr,../../gis/data/farms/ag_school_parcels.gpkg|layername=Ag_Districts_Focus,file,/mnt/c/Users/PaulMarzocchi/Vivarium/FARM_Time-/gis/data/farms/ag_school_parcels.gpkg,True,True,.gpkg,ok
QField/Ag_School_AgParcels_QField/Paul-MASTER.qgz,Ag_Zoned_Parcels_7b2fde32_5e86_4bb0_ad67_3b72fce29d0f,Ag Zoned Parcels,ogr,../../gis/data/farms/ag_school_parcels.gpkg|layername=Ag_Zoned_Parcels,file,/mnt/c/Users/PaulMarzocchi/Vivarium/FARM_Time-/gis/data/farms/ag_school_parcels.gpkg,True,True,.gpkg,ok
QField/Ag_School_AgParcels_QField/Paul-MASTER.qgz,Ag_Zoned_Parcels___Onondaga_Ownership_75b9b571_3795_4888_bd70_249b7a1e5101,Ag Zoned Parcels – Onondaga Ownership,ogr,../../gis/data/farms/ag_school_parcels.gpkg|layername=Ag_Zoned_Parcels|subset=COUNTY_NAME='Onondaga',file,/mnt/c/Users/PaulMarzocchi/Vivarium/FARM_Time-/gis/data/farms/ag_school_parcels.gpkg,True,True,.gpkg,ok
QField/Ag_School_AgParcels_QField/Paul-MASTER.qgz,Bing_Satellite_e4d66a55_a631_46f1_a2ea_9c486a5ba0c2,Bing Satellite,wms,crs=EPSG:3857&format&type=xyz&url=https://ecn.t3.tiles.virtualearth.net/tiles/a%7Bq%7D.jpeg?g%3D0%26dir%3Ddir_n'&zmax=18&zmin=1,non-file,,False,False,,non-file
QField/Ag_School_AgParcels_QField/Paul-MASTER.qgz,Ag_Zoned_Parcels_CORE_3238bc05b6b44fa2847b0ed213b3fb91,CORE Parcels (2-30 ac single owner),ogr,"../../gis/data/farms/ag_school_parcels.gpkg|layername=Ag_Zoned_Parcels|subset=PRINT_KEY IN ('003.-01-26.1','005.-02-21.0','005.-02-22.1','005.-03-33.1','005.-04-20.0','005.-05-01.0','005.-06-01.1','005.-07-07.2','005.-07-10.1','005.-07-12.0','006.-04-02.2','006.-04-02.3','006.-04-06.1','006.-04-12.4','006.-04-17.1','006.-04-24.0','006.1-01-11.2','006.1-01-14.1','006.1-01-15.1','006.1-01-26.0','006.1-01-30.0','006.1-02-06.0','006.1-02-07.0','006.1-03-01.5','006.1-03-06.1','006.1-03-17.0','006.1-03-24.0','006.1-03-35.0','007.-01-05.0','007.-01-18.0','007.-01-43.0','007.-05-06.3','007.-05-06.7','007.1-02-06.2','007.1-02-06.3','007.1-02-06.4','010.-01-04.2','010.-01-06.2','010.-02-01.0','010.-02-39.1','010.-02-40.3','010.-02-41.1','010.-02-42.1','015.-01-43.6','015.-01-44.0','021.-01-07.2','021.-01-07.4','021.-01-07.5','021.-01-08.0','021.-01-09.0','021.-01-13.3','021.-01-13.4','021.-01-17.0','021.-01-19.2','021.-01-21.1','021.-03-11.0','021.-04-16.1','022.-01-10.2','022.-01-12.2','022.-01-12.3','022.-01-14.1','022.-02-01.2','022.-02-02.0','022.-02-03.0','022.-02-05.1','022.-02-06.1','022.-02-12.3','022.-02-14.1','022.-02-14.6','022.1-01-02.0','022.1-02-42.0','023.-01-18.0','023.-01-19.0','023.-01-26.1','023.-01-28.4','023.-01-28.5','023.-01-28.7','023.-01-28.8','026.-01-08.1','026.-04-09.0','026.-04-12.7','027.-01-03.2','027.-03-02.1','027.-03-06.0','027.2-02-93.5','028.1-01-03.1','047.-03-52.0','047.-03-53.0','047.-03-54.0','047.-03-55.0','047.-03-58.1','049.-03-04.0','049.-03-11.0','049.-03-12.0','049.-03-15.1','049.-04-06.4','049.-04-06.5','049.-04-06.6','049.-04-07.2','049.-04-07.3','049.-04-17.1','049.-04-20.0','049.-04-24.0','049.-04-29.0','052.-01-05.5','052.-01-05.6','052.-01-06.2','052.-02-07.0','052.-03-24.1','053.-02-02.0','054.-01-01.1','054.-01-01.2','054.-01-01.3','054.-01-13.0','054.-01-14.0','054.-01-19.1','054.-02-03.1','054.-02-06.2','054.-02-07.1','054.-02-07.2','054.-02-10.0','054.-02-12.0','054.-02-13.0','054.-03-11.1','054.-03-11.2','054.-03-13.1','054.-04-21.0','055.-07-01.0','055.-07-04.0','055.-08-04.0','055.-08-13.0','055.-08-14.1','055.-08-14.2','055.-08-21.1','055.-08-22.0')",file,/mnt/c/Users/PaulMarzocchi/Vivarium/FARM_Time-/gis/data/farms/ag_school_parcels.gpkg,True,True,.gpkg,ok
QField/Ag_School_AgParcels_QField/Paul-MASTER.qgz,ESRI_World_Imagery_de93d0de_a928_46a3_b210_07377ce37a26,ESRI World Imagery,wms,crs=EPSG:3857&format&type=xyz&url=https://services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/%7Bz%7D/%7By%7D/%7Bx%7D&zmax=19&zmin=0,non-file,,False,False,,non-file
QField/Ag_School_AgParcels_QField/Paul-MASTER.qgz,Flood_Hazard_(NFHL)_c9dac9052b52414bba4a9f13a8a32bf6,Flood Hazard (NFHL),ogr,../../gis/data/parcels/flood_nfhl.gpkg|layername=S_FLD_HAZ_AR,file,/mnt/c/Users/PaulMarzocchi/Vivarium/FARM_Time-/gis/data/parcels/flood_nfhl.gpkg,True,True,.gpkg,ok
QField/Ag_School_AgParcels_QField/Paul-MASTER.qgz,Hydrography__Flowline__c545bcef_d2fe_4c55_b8d2_5200a19e971c,Hydrography (Flowline),ogr,../../gis/data/farms/ag_school_parcels.gpkg|layername=Water_Lines,file,/mnt/c/Users/PaulMarzocchi/Vivarium/FARM_Time-/gis/data/farms/ag_school_parcels.gpkg,True,True,.gpkg,ok
QField/Ag_School_AgParcels_QField/Paul-MASTER.qgz,Hydrography_–_Flowlines_a96a1f2e595c4f83a15bedb934f9fc39,Hydrography – Flowlines,ogr,../../gis/data/parcels/hydro_flow.gpkg|layername=NHDFlowline,file,/mnt/c/Users/PaulMarzocchi/Vivarium/FARM_Time-/gis/data/parcels/hydro_flow.gpkg,True,True,.gpkg,ok
QField/Ag_School_AgParcels_QField/Paul-MASTER.qgz,Hydrography_–_Waterbodies_1640deaf9bb04f5e9af37830b20cb535,Hydrography – Waterbodies,ogr,../../gis/data/parcels/hydro_water.gpkg|layername=NHDWaterbody,file,/mnt/c/Users/PaulMarzocchi/Vivarium/FARM_Time-/gis/data/parcels/hydro_water.gpkg,True,True,.gpkg,ok
